ID,blv,map,neo,Lact.,LctAvSCCAct,Proj305MEM,Proj305MEFCM,Proj305MEECM,Proj305MEP,Proj305MEF,ProjClvInt
1,0,0,0,1,57,21962,23981,23647,659,893,444
2,0,0,0,1,107,23894,27429,27664,817,1054,544
3,0,0,0,1,57,21334,21454,20579,536,754,NA
4,0,0,0,1,22,26911,27920,27807,814,1004,524
5,0,0,0,1,44,21648,24332,24630,740,923,NA
6,0,0,0,1,22,20076,20910,20580,579,754,NA
7,0,0,0,1,283,21174,22050,22345,689,795,NA
8,0,0,0,1,66,NA,NA,NA,NA,NA,NA
9,0,0,0,1,41,22174,23651,23789,712,867,NA
10,0,1,0,1,23,24163,26182,26684,827,970,361
11,0,0,0,1,23,23750,22790,22361,641,772,NA
12,0,0,0,1,132,24035,24779,25147,781,887,453
13,0,0,0,1,66,22443,24676,24294,672,923,412
14,0,0,0,1,230,23810,26321,26583,797,988,387
15,0,0,0,1,29,23882,25719,25385,713,949,626
16,0,0,0,1,44,24092,24950,24686,708,896,NA
17,0,0,0,1,57,29466,29673,29556,874,1044,657
18,0,0,0,1,19,30855,31523,30807,852,1121,690
19,0,0,0,1,93,23672,26164,25593,691,982,371
20,0,0,0,1,47,25104,26783,26626,768,982,394
21,0,0,0,1,71,24801,26701,26581,768,985,408
22,0,0,0,1,23,NA,NA,NA,NA,NA,NA
23,0,0,0,1,44,26696,29158,29267,864,1086,396
24,0,0,0,1,15,23365,25723,25168,681,963,413
25,0,0,0,1,650,22921,27690,28141,839,1096,477
26,0,0,0,1,33,19752,21728,21871,650,813,486
27,0,0,0,2,27,24452,22460,22998,759,733,425
28,0,0,0,2,650,27988,30106,29872,854,1110,443
29,0,0,0,2,22,22534,22491,22292,651,786,420
30,0,0,0,2,54,25277,25867,25347,707,921,401
31,0,0,0,2,141,28440,27640,27400,808,946,484
32,0,0,0,2,162,NA,NA,NA,NA,NA,NA
33,0,0,0,2,54,23444,23875,23332,646,847,386
34,0,0,0,2,20,NA,NA,NA,NA,NA,NA
35,0,0,0,2,22,29525,31728,32036,968,1169,416
36,0,0,0,2,50,25039,25018,25109,762,875,398
37,0,0,0,2,31,27771,28195,27548,763,998,492
38,0,0,0,2,152,22409,24596,24452,699,919,455
39,0,0,0,2,174,19371,20476,20110,559,746,376
40,0,0,0,2,27,26205,25571,25189,727,878,424
41,0,0,0,3,123,25684,25102,25185,769,863,391
42,0,0,0,3,44,28585,30056,30233,909,1091,485
43,0,0,0,3,41,NA,NA,NA,NA,NA,NA
44,1,0,0,3,25,26008,24609,24271,711,824,394
45,1,0,0,3,18,23817,24961,24298,657,904,NA
46,0,0,0,3,400,19672,20038,19901,581,711,410
47,0,0,0,3,400,NA,NA,NA,NA,NA,NA
48,0,0,0,3,246,22398,25046,25304,757,947,370
49,0,0,0,3,746,NA,NA,NA,NA,NA,NA
50,0,0,0,3,230,23817,24928,25117,760,902,548
51,1,0,0,1,123,28910,24369,24355,774,732,387
52,0,0,0,1,20,25356,22331,22538,725,701,447
53,0,0,0,1,17,NA,NA,NA,NA,NA,NA
